state,year,sex,deaths,population,crude_rate_per_100000,age_standardised_rate_per_100000,premature_deaths,potentially_avoidable_deaths,median_age
New South Wales,2019,Males,28967,3999452,724.3,627.5,11354,5644,79.4
New South Wales,2020,Males,27427,4030710,680.5,576.4,10695,5339,79.3
New South Wales,2021,Males,29330,4025393,728.6,599.6,10920,5228,79.8
New South Wales,2022,Males,32822,4059763,808.5,653.8,11862,5631,80.1
New South Wales,2023,Males,31110,4149141,749.8,604.5,11227,5356,80
Victoria,2019,Males,21233,3236531,656,594.5,8064,4169,79.8
Victoria,2020,Males,21141,3273674,645.8,573.4,8042,4139,79.8
Victoria,2021,Males,21864,3237594,675.3,579.4,8144,3963,80.1
Victoria,2022,Males,24779,3277761,756,639.9,8886,4285,80.3
Victoria,2023,Males,23471,3370392,696.4,589.6,8463,4250,80.1
Queensland,2019,Males,17257,2521333,684.4,634.2,7408,3929,77.8
Queensland,2020,Males,16893,2558538,660.3,598.1,7228,3771,77.9
Queensland,2021,Males,18026,2585543,697.2,614.1,7488,3818,78.2
Queensland,2022,Males,20523,2635789,778.6,672,7879,4033,78.9
Queensland,2023,Males,19631,2704203,725.9,619.1,7796,4046,78.6
Western Australia,2019,Males,8018,1331167,602.3,585.8,3483,1877,78
Western Australia,2020,Males,7939,1357131,585,551,3516,1916,77.4
Western Australia,2021,Males,8426,1376317,612.2,561.3,3433,1895,78.7
Western Australia,2022,Males,9218,1398351,659.2,589.6,3703,1985,78.7
Western Australia,2023,Males,9343,1445251,646.5,573.1,3725,1913,79.1
South Australia,2019,Males,7087,873494,811.3,624.9,2719,1385,80
South Australia,2020,Males,7043,884465,796.3,604.2,2658,1325,79.8
South Australia,2021,Males,7431,891067,833.9,616.4,2804,1376,80.2
South Australia,2022,Males,7801,900132,866.7,627.6,2819,1309,80.2
South Australia,2023,Males,8061,915999,880,633.6,2846,1274,80.4
Tasmania,2019,Males,2416,271197,890.9,684.6,1000,530,78.1
Tasmania,2020,Males,2384,275981,863.8,648.2,996,527,77.9
Tasmania,2021,Males,2428,281404,862.8,637,979,519,78.8
Tasmania,2022,Males,2706,283159,955.6,685.3,1072,543,78.7
